Wann?,Wo?,Ort,Ortsteil,Strasse,Was?,Schaden?,Meldung
12/12/2013,Heilbronn-Böckingen,Heilbronn,Böckingen,,Kupferdach,4000,"30 Quadratmeter Kupferdach im Wert von zirka 4000 € entwendeten Unbekannte zwischen letzten und diesen Donnerstag von einem Wasserhochbehälter an der Straße zwischen Leingarten und Nordheim. Aufgrund der Menge des Diebesguts ist davon auszugehen, dass die Täter zum Abtransport einen Lkw oder einen Pkw mit Anhänger benutzt haben. Personen, die in der letzten Woche rund um den Wasserturm verdächtige Wahrnehmungen gemacht haben oder sonstige sachdienliche Hinweise zur Tat geben können, werden gebeten sich bei dem Polizeirevier Böckingen, Tel.-Nr.: 07131/204060, zu melden."
12/10/2013,Neudenau,Neudenau,,Billigheimer Straße,Kupferdraht,8000,"Kupferdraht im Wert von zirka 8000 Euro stahlen Unbekannte aus einem Firmengebäude in der Billigheimer Straße in Neudenau. Die Täter hatten eine Türe aufgehebelt und gelangten so in eine Fertigungshalle. Von dort entwendeten die Täter insgesamt 18 Kupferdrahtspulen von je etwa 40 Kg. Es ist davon auszugehen, dass die Täter für den Abtransport einen Transporter benutzt haben. Der Einbruch hatte sich zwischen Montag 16:00 Uhr und Dienstag 07:00 Uhr ereignet. Personen die rund um den Tatort verdächtige Wahrnehmungen machen konnten, werden gebeten sich mit dem Polizeiposten Bad Friedrichshall unter der Telefonnummer 07136/98030  in Verbindung zu setzen."
12/3/2013,Eppingen,Eppingen,,Kreisstraße,Gerüstteile,20000,"Vom Lagerplatz einer Gerüstbaufirma Im Täle in Eppingen-Mühlbach stahlen Unbekannte in der Nacht zum Dienstag Gerüstteile im Wert von rund 20.000 Euro. Nachdem sie einen Zaun, der das Gelände umgibt, aufgeschnitten hatten, stellten sich die Diebe nicht sonderlich geschickt an. Mit einem Gabelstapler versuchten sie mehrere Gerüstböden und Stellrahmen abzutransportieren. Dabei fuhren sie sich auf dem schlammigen Untergrund fest. So musste der Stapler wieder abgeladen und die Teile separat zu einem LKW getragen werden, der auf einem Feldweg am Rande des Firmengeländes geparkt war. Nachdem sämtliche Teile aufgeladen worden waren, blieb auch der LKW stecken. Um den Laster frei zu fahren legten sie verschiedene Netze und kleinere Gerüstteile unter die Hinterachse. So gelang es ihnen den LKW aus dem Matsch zu fahren. Die Spur verlor sich auf der Kreisstraße 3510 zwischen Sulzfeld und Mühlbach. Da die Verladeaktion zeitaufwändig gewesen sein dürfte, hofft die Eppinger Polizei auf Zeugen. Sachdienliche Hinweise werden unter Telefon 07262/6095-0 erbeten."
12/10/2013,Schöntal,Schöntal,,,Kupferkabel,"15,000","  Die Kläranlage in Kloster Schöntal suchten Einbrecher in der Nacht zum Dienstag heim. Dabei brachen sie das Nebeneingangstor an der Ostseite auf und rissen zur Fluchtvorbereitung den Zaun an der Westseite des Areals herunter. Anschließend verluden sie mit einem vorgefundenen Hubwagen in ihren LKW rund 300 Meter Fernmeldekabel, cirka 300 Meter Straßenbeleuchtungskabel, über 100 Meter Starkstromkabel, 40 Meter Hochdruckschläuche, eine Akku-Bohrmaschine der Marke Würth sowie 32 Edelstahlabdeckgitter von den Außenbecken und der Klärbrücke mit einem Gewicht zwischen 10 und 30 Kilogramm. Der Gesamtwert der Beute wurde auf rund 15.000 Euro beziffert. Zeugen, die in der Tatnacht eine verdächtige Beobachtung gemacht haben, sollten sich unter Tel. 06294/234 beim Polizeiposten in Krautheim melden."
12/11/2013,Ellhofen,Ellhofen,,,Kupferkabel,"3,000","Rund  3.000 Euro Schaden haben unbekannte Täter an der Stadtbahnstrecke zwischen Ellhofen und Affaltrach angerichtet. An verschiedenen Stellen der Stadtbahnstrecke wurden in den letzten Tagen über 50 Masterdungskabel entwendet. ""Wir gehen derzeit davon aus, dass zum Abtransport ein kleiner Last- oder Kastenwagen benutzt wurde"", erklärt Dieter Natterer vom Bundespolizeirevier Heilbronn gegenüber stimme.de. Bei einem Oberleitungsmasten ohne Erdungskabel kann bei einem Spannungsüberschlag oder Kurzschluss keine sichere Spannungsableitung durch die Fahrschiene erfolgen. Dadurch können im Bereich des Masten lebensgefährliche elektrische Spannungen auftreten."
11/15/2013,Bretzfeld,Bretzfeld,,Frankenstraße,Gerüstteile,300," Von einer Baustelle in der Dimbacher Frankenstraße entwendeten Unbekannte in der Nacht zum vergangen Freitag verschiedene Gerüstteile im Wert von cirka 300 Euro. Zeugen, die eine verdächtige Beobachtung gemacht haben, sollten sich unter Tel. 07946/940010 beim Polizeiposten Bretzfeld melden."
11/8/2013,Dörzbach,Dörzbach,,Industriestraße,Kabel,"2,000","  Im Dörzbacher Gewerbegebiet in der Industriestraße machten sich in der Nacht zum vergangenen Freitag unbekannte Diebe ans Werk. Sie verschafften sich in der Zeit zwischen Donnerstag, 18.30 Uhr, und Freitagmorgen, Zugang zu einem Baugelände und brachen dort einen Container auf. Die Täter entwendeten daraus ein Steuerungskabel mit Fernbedienung sowie mehrere Sorten Stromkabel im Wert von fast 2.000 Euro. Eventuell haben Verkehrsteilnehmer im Tatzeitraum etwas Verdächtiges im Bereich des Industriegebietes bemerkt. Der Polizeiposten Krautheim nimmt unter der Telefonnummer 06294-234 sachdienliche Hinweise zu dem Diebstahl entgegen."
11/17/2013,Eppingen,Eppingen,,Frauenbrunner Straße,Kupferkabel,"3,000","In der Zeit vom 14. November 2013 bis 17.November 2013 ließen Unbekannte in der Eppinger Frauenbrunner Straße rund 750 Meter Kupferkabel im Wert von rund 3.000 Euro mitgehen. Die Unbekannten hatten vom Hof einer Baufirma zwei Kabeltrommeln auf die Straße gerollt und  diese in ein Fahrzeug oder auf einen Anhänger verladen. Da auch zur Nachtzeit die Frauenbrunner Straße relativ stark befahren wird, besteht durchaus die Möglichkeit, dass der Vorgang beobachtet wurde. Zeugen werden gebeten, sich unter der Tel.Nr.: 07262/60950 mit der Polizei Eppingen in Verbindung zu setzen."
11/6/2013,Eppingen,Eppingen,,Bundesstraße,Kupferkabel,500,"Ein bislang noch unbekannter Täter ließ in der Zeit von Dienstag, 17.00 Uhr bis Mittwoch, 07.30 Uhr von einer Baustelle in Eppingen ein etwa 30 Meter langes Starkstromkabel im Wert von mehreren hundert Euro mitgehen. Der Tatort „Im Wiesental“ liegt unmittelbar neben dem Zubringer von Rohrbach zur Bundesstraße 293. Zeugen oder Personen, die sachdienliche Hinweise geben können werden gebeten, sich unter der Tel.Nr.: 07262/6095-0 mit der Polizei Eppingen in Verbindung zu setzen."
11/6/2013,Eppingen,Eppingen,,Mittwoch,Kupferkabel,500,"Vermutlich mit einem Bolzenschneider zwickten Unbekannte in der Nacht vom Dienstag auf Mittwoch in Eppingen-Rohrbach das Zuleitungskabel eines Baukrans ab. Der Kran steht auf einer Baustelle im Gewerbegebiet Wiesental, unmittelbar neben dem Zubringer zur B 293. Die Täter stahlen 30 Meter des vieradrigen Starkstromkabels, der Wert wird auf mehrere Hundert Euro geschätzt. Die Polizei hofft, dass jemand eventuell verdächtige Personen oder Fahrzeuge gesehen hat, diese allerdings nicht mit einer Straftat in Verbindung brachte. Hinweise gehen an das Polizeirevier Eppingen, Telefon 07262 60950."
